APELIDO,RQ1_MESES,RQ2_MESES,RQ3_MESES,RQ1_ANOS,RQ2_ANOS,RQ3_ANOS
RESP_8,60,144,48,5.0,12.0,4.0
RESP_4,48,24,60,4.0,2.0,5.0
RESP_13,104,32,96,8.666666666666666,2.6666666666666665,8.0
RESP_2,36,12,78,3.0,1.0,6.5
RESP_14,120,8,60,10.0,0.6666666666666666,5.0
RESP_10,6,30,30,0.5,2.5,2.5
RESP_5,60,22,60,5.0,1.8333333333333333,5.0
RESP_3,2,20,156,0.16666666666666666,1.6666666666666667,13.0
RESP_12,19,33,108,1.5833333333333333,2.75,9.0
RESP_6,17,17,60,1.4166666666666667,1.4166666666666667,5.0
RESP_1,12,4,78,1.0,0.3333333333333333,6.5
RESP_9,21,46,96,1.75,3.8333333333333335,8.0
RESP_7,1,21,48,0.08333333333333333,1.75,4.0
RESP_11,166,45,86,13.833333333333334,3.75,7.166666666666667
